test_id,rating
0,3.60733988837
1,4.59850731368
2,4.80892253808
3,3.32914351568
4,4.2262299977
5,4.75013309317
6,3.55144401221
7,3.74846325639
8,3.93392111832
9,3.85239080451
10,4.18333871415
11,4.00204825771
12,3.52996714514
13,3.36498455453
14,4.26181231043
15,4.2986162432
16,4.23687571202
17,3.92041110053
18,3.52149799105
19,3.60161343393
20,3.45660744111
21,3.8079332588
22,3.85574422574
23,3.72687995839
24,4.2708198641
25,3.5811344781
26,3.30358306789
27,3.21297027657
28,3.18124329776
29,3.47362239227
30,3.85835672711
31,3.45285909657
32,3.32362405572
33,3.8003865475
34,3.69596529919
35,3.99063216298
36,3.69185213748
37,3.75412823935
38,3.93403964207
39,3.44782125052
40,3.94070283185
41,3.52729358083
42,3.66170213979
43,3.51180746212
44,4.04993522014
45,3.65595347562
46,3.58254411732
47,3.55866382921
48,3.90213096932
49,4.01746993345
50,3.46421788901
51,3.71777050544
52,3.20806630815
53,3.78853340584
54,3.74057387832
55,3.67708021945
56,4.40150978117
57,4.286650153
58,4.45688260011
59,4.17162087171
60,4.11170078667
61,4.50498294277
62,4.3152483252
63,4.66304521445
64,2.93037232741
65,3.64508860716
66,2.87882968856
67,3.11001219393
68,4.18806577167
69,4.09228182015
70,3.93458961641
71,3.78988769161
72,4.09894183592
73,3.57621047525
74,3.43277300099
75,3.18263494268
76,3.89454664459
77,3.53169270748
78,4.55041084908
79,4.33777133964
80,3.9645175189
81,4.70261654309
82,4.43705861791
83,4.12107107179
84,4.37623095173
85,4.38740491842
86,4.12568111439
87,3.09657339449
88,3.75646185661
89,3.39982488168
90,4.56773778403
91,3.09293868841
92,4.08200367454
93,4.34689299269
94,3.77955093017
95,3.77157049774
96,3.91802477439
97,3.6624599042
98,3.32131840333
99,3.51073161273
100,4.04376949913
101,4.02328774156
102,4.06659756932
103,4.28073368454
104,3.85597091676
105,2.87789625691
106,3.57498201771
107,4.5852762842
108,3.07108381295
109,2.92503502681
110,2.91751909257
111,4.46623650742
112,4.52491100638
113,4.04503413032
114,3.69537521323
115,3.82065608767
116,3.87138274366
117,3.74826446363
118,4.16347651731
119,3.48627761172
120,3.25626171748
121,3.54182708969
122,3.92113437776
123,3.67254206716
124,3.83092334968
125,3.90494994553
126,3.78594756781
127,2.98655890613
128,4.25810962442
129,3.97884322108
130,4.1702715212
131,4.17666258914
132,4.35649460902
133,2.93271583878
134,4.0672263473
135,4.21093639506
136,3.66121033888
137,3.23666821701
138,4.23875935203
139,3.53848264173
140,3.5786378525
141,3.2798501619
